country,Year,Mineral,Export_value,Company,Percent_share
Peru,2018,Iron,9096994.0,,100.0
Peru,2018,Manganese,17203.0,,100.0
Peru,2018,Molybdenum,28034.0,,100.0
Peru,2018,Arsenic,20376.0,,100.0
Peru,2018,Bismuth,145.0,,100.0
Peru,2018,Cadmium,765.0,,100.0
Peru,2018,Copper,2416881.0,Oroco Resource Corp.,100.0
Peru,2018,Indium,5.0,,100.0
Peru,2018,Lead,288796.0,,100.0
Peru,2018,Selenium,52.0,,100.0
Peru,2018,Tin,18601.0,Stellar Resources Limited,100.0
Peru,2018,Zinc,1471846.0,,100.0
Peru,2018,Gold,125934.0,Aben Minerals Ltd.,10.0
Peru,2018,Gold,125934.0,Asante Gold Corporation,10.0
Peru,2018,Gold,125934.0,Athena Gold Corp,10.0
Peru,2018,Gold,125934.0,Awalé Resources,10.0
Peru,2018,Gold,125934.0,Endomines Finland Oyj,10.0
Peru,2018,Gold,125934.0,Exploits Discovery Corp,10.0
Peru,2018,Gold,125934.0,Great Boulder Resources,10.0
Peru,2018,Gold,125934.0,Kobo Resources Inc.,10.0
Peru,2018,Gold,125934.0,Loncor Gold Inc,10.0
Peru,2018,Gold,125934.0,Scorpio Gold Corp.,10.0
Peru,2018,Silver,3999990.0,,100.0
Peru,2018,Baryte,15621.0,,100.0
Peru,2018,Bentonite,2383.0,,100.0
Peru,2018,Boron,100552.0,,100.0
Peru,2018,Diatomite,96532.0,,100.0
Peru,2018,Feldspar,31588.0,,100.0
Peru,2018,Gypsum,458479.0,,100.0
Peru,2018,Kaolin,16004.0,,100.0
Peru,2018,Phosphates,1237000.0,,100.0
Peru,2018,Salt,1509564.0,,100.0
Peru,2018,Sulfur,552800.0,,100.0
Peru,2018,Talc,47309.0,,100.0
Peru,2018,Steam Coal,218787.0,,100.0
Peru,2018,Nat. Gas,12721.0,,100.0
Peru,2018,Petroleum,6688500.0,,100.0
Peru,2019,Iron,9666412.0,,100.0
Peru,2019,Manganese,18814.0,,100.0
Peru,2019,Molybdenum,30441.0,,100.0
Peru,2019,Arsenic,24915.0,,100.0
Peru,2019,Bismuth,73.0,,100.0
Peru,2019,Cadmium,772.0,,100.0
Peru,2019,Copper,2437925.0,Oroco Resource Corp.,100.0
Peru,2019,Indium,7.0,,100.0
Peru,2019,Lead,307021.0,,100.0
Peru,2019,Selenium,56.0,,100.0
Peru,2019,Tin,19853.0,Stellar Resources Limited,100.0
Peru,2019,Zinc,1382753.0,,100.0
Peru,2019,Gold,113586.0,Aben Minerals Ltd.,10.0
Peru,2019,Gold,113586.0,Asante Gold Corporation,10.0
Peru,2019,Gold,113586.0,Athena Gold Corp,10.0
Peru,2019,Gold,113586.0,Awalé Resources,10.0
Peru,2019,Gold,113586.0,Endomines Finland Oyj,10.0
Peru,2019,Gold,113586.0,Exploits Discovery Corp,10.0
Peru,2019,Gold,113586.0,Great Boulder Resources,10.0
Peru,2019,Gold,113586.0,Kobo Resources Inc.,10.0
Peru,2019,Gold,113586.0,Loncor Gold Inc,10.0
Peru,2019,Gold,113586.0,Scorpio Gold Corp.,10.0
Peru,2019,Silver,3706760.0,,100.0
Peru,2019,Baryte,16373.0,,100.0
Peru,2019,Bentonite,46887.0,,100.0
Peru,2019,Boron,111108.0,,100.0
Peru,2019,Diatomite,91103.0,,100.0
Peru,2019,Feldspar,29134.0,,100.0
Peru,2019,Gypsum,254382.0,,100.0
Peru,2019,Kaolin,9208.0,,100.0
Peru,2019,Phosphates,1331000.0,,100.0
Peru,2019,Salt,1266347.0,,100.0
Peru,2019,Sulfur,511500.0,,100.0
Peru,2019,Talc,43974.0,,100.0
Peru,2019,Steam Coal,181023.0,,100.0
Peru,2019,Nat. Gas,13429.0,,100.0
Peru,2019,Petroleum,6956200.0,,100.0
Peru,2020,Iron,8893972.0,,100.0
Peru,2020,Manganese,10120.0,,100.0
Peru,2020,Molybdenum,32185.0,,100.0
Peru,2020,Arsenic,19014.0,,100.0
Peru,2020,Bismuth,74.0,,100.0
Peru,2020,Cadmium,451.0,,100.0
Peru,2020,Copper,2153952.0,Oroco Resource Corp.,100.0
Peru,2020,Indium,7.0,,100.0
Peru,2020,Lead,241548.0,,100.0
Peru,2020,Selenium,53.0,,100.0
Peru,2020,Tin,20647.0,Stellar Resources Limited,100.0
Peru,2020,Zinc,1334570.0,,100.0
Peru,2020,Gold,85173.0,Aben Minerals Ltd.,10.0
Peru,2020,Gold,85173.0,Asante Gold Corporation,10.0
Peru,2020,Gold,85173.0,Athena Gold Corp,10.0
Peru,2020,Gold,85173.0,Awalé Resources,10.0
Peru,2020,Gold,85173.0,Endomines Finland Oyj,10.0
Peru,2020,Gold,85173.0,Exploits Discovery Corp,10.0
Peru,2020,Gold,85173.0,Great Boulder Resources,10.0
Peru,2020,Gold,85173.0,Kobo Resources Inc.,10.0
Peru,2020,Gold,85173.0,Loncor Gold Inc,10.0
Peru,2020,Gold,85173.0,Scorpio Gold Corp.,10.0
